Company,Title,Role,Experience,Real Salary,Expected Salary,Education,Company Rating,Reviews of Company,Location,Skills,Link,Review Page of Company
MNR Solutions Pvt. Ltd.,Data Scientist,"['RoleData Scientist', 'Industry TypeManagement Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(22 Reviews),"Pune, Bangalore/Bengaluru",Computer visionPDFdata manipulationMachine learningdata visualizationExecutive searchData miningbig data,https://www.naukri.com/job-listings-data-scientist-mnr-solutions-pvt-ltd-pune-bangalore-bengaluru-5-to-10-years-170522501844,https://www.ambitionbox.com/reviews/mnr-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Springer Nature,"Data Scientist_SQL, Big Query, Python, R, Tableau",,3-6 Yrs ,Not disclosed,,,,(137 Reviews),Pune,pythonSQL,https://www.naukri.com/job-listings-data-scientist-sql-big-query-python-r-tableau-springer-nature-technology-and-publishing-solutions-private-limited-pune-3-to-6-years-070722007969,https://www.ambitionbox.com/reviews/springer-nature-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
ThyssenKrupp,Data Scientist Jr. & Sr.,"['RoleData Scientist', 'Industry TypeMiscellaneous', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",0-4 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(1272 Reviews),Pune,MiningAutomationAerospaceConsultingMachine learningAutomotiveAnalyticsBusiness operations,https://www.naukri.com/job-listings-data-scientist-jr-sr-thyssenkrupp-elevator-india-pvt-ltd-pune-0-to-4-years-160822501383,https://www.ambitionbox.com/reviews/thyssenkrupp-elevator-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Webeltek IT Solutions  ,Data Science Lead,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",Not disclosed ,Not disclosed,,UG :Graduation Not Required,,,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Goregaon, Chennai, Bangalore/Bengaluru(WFH during Covid)",Data ScienceRMLDatabricksAzureSQLPythonIT Skills,https://www.naukri.com/job-listings-data-science-lead-webeltek-it-solutions-noida-kolkata-hyderabad-secunderabad-pune-goregaon-chennai-bangalore-bengaluru-10-to-15-years-280722006462,
Recruito Consultancy ,Sr. Manager/ AGM-Data Science,"['RoleData Scientist', 'Industry TypeTextile & Apparel', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",11-20 Yrs ,"15,00,000 - 25,00,000 PA.",,UG :Any Graduate,,,Mumbai (All Areas),Data ScienceSASPower Bidata scientistPython,https://www.naukri.com/job-listings-sr-manager-agm-data-science-recruito-consultancy-mumbai-all-areas-11-to-20-years-030822009611,
BLJ TECH GEEKS ,Senior/Principal Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-13 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any Specialization,,(2 Reviews),Bangalore/Bengaluru,Data scientistdata scienceDeep Learning,https://www.naukri.com/job-listings-senior-principal-data-scientist-blj-tech-geeks-bangalore-bengaluru-8-to-13-years-200622002724,https://www.ambitionbox.com/reviews/blj-tech-geeks-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Talent Socio Bizcon LLP ,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,"5,00,000 - 12,00,000 PA.",,UG :Any Graduate,,,Bangalore/Bengaluru,Data ScienceNLPMachine LearningPythonHiveHadoopSparkR,https://www.naukri.com/job-listings-data-scientist-talent-socio-bizcon-llp-bangalore-bengaluru-4-to-9-years-170822002617,
Shell,Weather and Climate Data Scientist,"['RoleData Scientist', 'Industry TypePetrochemical / Plastics / Rubber', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,Avg. Salary - ₹20.8 Lakhs,"UG :Any GraduatePG :MS/M.Sc(Science) in Maths, Physics, Statistics, Computers, MCM in Computers and Management, M.A in Maths, Statistics, M.Tech in Computers, MCA in Computers",,(1195 Reviews),Bangalore/Bengaluru,pythontime series analysisdeep learningrenewable energyrdata sciencenumpymachine learning,https://www.naukri.com/job-listings-weather-and-climate-data-scientist-shell-india-markets-private-limited-bangalore-bengaluru-5-to-10-years-160822911708,https://www.ambitionbox.com/reviews/shell-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
SuccessR Hrtech Pvt Ltd,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",Not disclosed ,Not disclosed,,"UG :B.Tech/B.E. in Computers, B.Sc in ComputersPG :MS/M.Sc(Science) in ComputersDoctorate :Doctorate Not Required",,(3 Reviews),Bangalore/Bengaluru(WFH during Covid),Data Science DevelopmentIT SkillsPythonTestingData ScienceMachine LearningTopic modelingTensorflow,https://www.naukri.com/job-listings-senior-data-scientist-successr-hrtech-pvt-ltd-bangalore-bengaluru-5-to-10-years-160822908137,https://www.ambitionbox.com/reviews/successr-hr-tech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
iMindYourBusiness,Data Scientist - SQL/ R/ Python,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-8 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Computers, BCA in Computers, B.Sc in Maths, Statistics, Computers, B.A in Economics, Statistics, MathsPG :MCA in Computers, M.Tech in Computers, MS/M.Sc(Science) in Maths, Statistics, Computers, MCM in Computers and Management, M.A in Maths, Economics, StatisticsDoctorate :Doctorate Not Required",,,Bangalore/Bengaluru,Pythondebuggingtext analyticsJMPAnalysisSASDATA SCIENCEsocial media analytics,https://www.naukri.com/job-listings-data-scientist-sql-r-python-imindyourbusiness-bangalore-bengaluru-4-to-8-years-160822908012,
Shell,Data Scientist,"['RoleData Scientist', 'Industry TypePetrochemical / Plastics / Rubber', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,Avg. Salary - ₹20.8 Lakhs,"UG :Any GraduatePG :M.A in Statistics, MS/M.Sc(Science) in Statistics",,(1195 Reviews),"Chennai, Bangalore/Bengaluru",Data sciencepeople analyticsPythonR programming,https://www.naukri.com/job-listings-data-scientist-shell-india-markets-private-limited-chennai-bangalore-bengaluru-3-to-8-years-160822906961,https://www.ambitionbox.com/reviews/shell-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Career Maker,Research Scientist-Machine Learning Development-Java/C++/Perl/Python/R,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,"UG :Any GraduatePG :Any PostgraduateDoctorate :Ph.D/Doctorate in Statistics, Computers",,,Bangalore/Bengaluru,JavaC++Machine LearninganalysisMatlabpresentationsoftware developmentData Mining,https://www.naukri.com/job-listings-research-scientist-machine-learning-development-java-c-perl-python-r-career-maker-bangalore-bengaluru-5-to-10-years-160822902321,
"Sony Pictures Entertainment, Inc","Data Scientist, Digital Business","['RoleData Scientist', 'Industry TypeFilm / Music / Entertainment', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-4 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate,,(23 Reviews),Bangalore/Bengaluru,Computer scienceDigital mediaData analysishuman capitaldata scienceStakeholder managementbig dataIPS,https://www.naukri.com/job-listings-data-scientist-digital-business-sony-pictures-entertainment-inc-bangalore-bengaluru-2-to-4-years-160822502250,https://www.ambitionbox.com/reviews/sony-pictures-entertainment-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
HUDSONS BAY SERVICES PRIVATE LIMITED,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeRetail', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,,UG :Any GraduatePG :MS/M.Sc(Science) in Chemistry,,(6 Reviews),Bangalore/Bengaluru,Retaildata scienceAnalyticalProgrammingSales forecastingForecastingPredictive analyticsAnalytics,https://www.naukri.com/job-listings-senior-data-scientist-hudsons-bay-services-private-limited-bangalore-bengaluru-4-to-9-years-160822501599,https://www.ambitionbox.com/reviews/hudsons-bay-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Thoughtfocus Technologies,Senior AI Engineer,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any Graduate,,(190 Reviews),Bangalore/Bengaluru(Bannerghatta Road),deep learningpythonNatural Language Processingmachine learningartificial intelligenceTensorFlowPyTorchlearning,https://www.naukri.com/job-listings-senior-ai-engineer-thoughtfocus-information-technologies-pvt-limited-bangalore-bengaluru-3-to-8-years-160822007937,https://www.ambitionbox.com/reviews/thought-focus-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Valuable Consulting,Senior Data Scientist with Pyspark and Databricks German MNC,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-10 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any SpecializationPG :M.Tech in ComputersDoctorate :Doctorate Not Required,,,Bangalore/Bengaluru,data bricksPysparkSQLPySparkPyTorchanalyticalTensorFlow,https://www.naukri.com/job-listings-senior-data-scientist-with-pyspark-and-databricks-german-mnc-valuable-consulting-bangalore-bengaluru-8-to-10-years-120822908453,
SuccessR Hrtech Pvt Ltd,Sr. Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",Not disclosed ,Not disclosed,,"UG :B.Sc in Physics, Computers, B.Tech/B.E. in Any SpecializationPG :MS/M.Sc(Science) in Physics, ComputersDoctorate :Doctorate Not Required",,(3 Reviews),Bangalore/Bengaluru(WFH during Covid),Machine LearningIT SkillsPythonTestingData SciencePytorchNLPinformation retrieval,https://www.naukri.com/job-listings-sr-data-scientist-successr-hrtech-pvt-ltd-bangalore-bengaluru-5-to-8-years-120822905864,https://www.ambitionbox.com/reviews/successr-hr-tech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Huquo Consulting Pvt. Ltd,Assistant Manager/Manager/Data Scientist,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,Bangalore/Bengaluru,Predictive ModelingML techniquesPythonNLPData ManagementMachine Learning,https://www.naukri.com/job-listings-assistant-manager-manager-data-scientist-huquo-consulting-pvt-ltd-bangalore-bengaluru-3-to-8-years-100822909876,
Aidash,Data Scientist / Sr . Data Scientist,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-3 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(4 Reviews),Bangalore/Bengaluru,HadoopTorchGPUsTensorflowDockerPySparkAWSPython,https://www.naukri.com/job-listings-data-scientist-sr-data-scientist-aidash-bangalore-bengaluru-1-to-3-years-100822500401,https://www.ambitionbox.com/reviews/aidash-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Aparajita Consultancy Services,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-11 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,Bangalore/Bengaluru,Deep learningDevOpsDockersSingularityNLPIT SkillsData ScienceMachine Learning,https://www.naukri.com/job-listings-data-scientist-aparajita-consultancy-services-bangalore-bengaluru-6-to-11-years-130722910784,
ACI Worldwide,Assoc Data Scientist,"['RoleData Scientist', 'Industry TypeEducation / Training', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-6 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(91 Reviews),Bangalore/Bengaluru,Computer scienceData analysisInformation securityAciMachine learningDesign developmentmodel developmentPredictive modeling,https://www.naukri.com/job-listings-assoc-data-scientist-aci-worldwide-bangalore-bengaluru-3-to-6-years-130722500488,https://www.ambitionbox.com/reviews/aci-worldwide-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
DAZN,Data Scientist I,"['RoleData Scientist', 'Industry TypeBanking', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-3 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Production/IndustrialPG :M.Tech in Electronics/Telecommunication, MS/M.Sc(Science) in Chemistry",,(4 Reviews),Bangalore/Bengaluru,Computer scienceComputer visiondeep learningNeural networksData collectionmodel developmentStatisticsSupervision,https://www.naukri.com/job-listings-data-scientist-i-perform-group-bangalore-bengaluru-1-to-3-years-120222500304,https://www.ambitionbox.com/reviews/dazn-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Protiviti India,"Career Opportunity - Data Scientist - Doha, Qatar","['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any Specialization,,(84 Reviews),Doha,Data ScienceQlikViewClouderaSparkcommunicationpresentationImpalascience,https://www.naukri.com/job-listings-career-opportunity-data-scientist-doha-qatar-protiviti-india-doha-5-to-10-years-080822004579,https://www.ambitionbox.com/reviews/protiviti-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Apptio India,Sr. Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",7-11 Yrs ,Not disclosed,Avg. Salary - ₹44.8 Lakhs,"UG :B.A in Statistics, Maths, B.Tech/B.E. in Computers, BCA in Computers, B.Sc in Maths, Computers, StatisticsPG :Any Postgraduate",,(22 Reviews),"Bangalore/Bengaluru, Karnataka",data scienceIT SkillsPythonMachine LearningArtificial IntelligenceCloudAWSNLP,https://www.naukri.com/job-listings-sr-data-scientist-apptio-india-llp-bangalore-bengaluru-karnataka-7-to-11-years-080722911623,https://www.ambitionbox.com/reviews/apptio-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Klub,Data Scientist,"['RoleData Scientist', 'Industry TypeFinancial Services', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-5 Yrs ,Not disclosed,,"UG :B.A, Any Graduate, B.Sc in ChemistryPG :Any Postgraduate",,,Bangalore/Bengaluru,Data ScienceRBusiness SolutionsData ScientistNeural NetworksData AnalysisData MiningMachine Learning,https://www.naukri.com/job-listings-data-scientist-klub-bangalore-bengaluru-2-to-5-years-061221500323,
Western India Pharmaceutical,"Principal Data Scientist, AI-ML, D&T","['RoleData Scientist', 'Industry TypePharmaceutical & Life Sciences', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,Bangalore/Bengaluru,Computer scienceC++Image processingPharmaAnalyticalHealthcareData miningPrincipal,https://www.naukri.com/job-listings-principal-data-scientist-ai-ml-d-t-western-india-pharmaceutical-bangalore-bengaluru-8-to-10-years-050722500409,
Greenizon Agritech Consultancy,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeBanking', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-2 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(15 Reviews),Bangalore/Bengaluru,Data ScienceRFinancial ServicesCustomer ExperienceData ScientistNeural NetworksData VisualizationMachine Learning,https://www.naukri.com/job-listings-senior-data-scientist-greenizon-agritech-consultancy-bangalore-bengaluru-1-to-2-years-050122500141,https://www.ambitionbox.com/reviews/greenizon-agritech-consultancy-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Travel Centric Technology,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(2 Reviews),Bangalore/Bengaluru,IT SkillsPythonSimulationCodingNeural networksAnalyticalAgile developmentMachine learning,https://www.naukri.com/job-listings-data-scientist-travel-centric-technology-bangalore-bengaluru-5-to-10-years-040322500903,https://www.ambitionbox.com/reviews/travel-centric-technology-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Awake Security,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in ComputersPG :CA in CA, Any Postgraduate",,,Bangalore/Bengaluru,JupyterAIdata scienceSQLPythonScalaIT SkillsBig Data,https://www.naukri.com/job-listings-data-scientist-awake-security-bangalore-bengaluru-5-to-10-years-031221500410,
DAZN,Data Scientist II,"['RoleData Scientist', 'Industry TypeFilm / Music / Entertainment', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-4 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Production/IndustrialPG :MS/M.Sc(Science) in Chemistry, M.Tech in Electronics/Telecommunication",,(4 Reviews),Bangalore/Bengaluru,Computer sciencedeep learningComputer visionNeural networksData collectionmodel developmentScientist IIStatistics,https://www.naukri.com/job-listings-data-scientist-ii-perform-group-bangalore-bengaluru-2-to-4-years-020222500226,https://www.ambitionbox.com/reviews/dazn-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Multi Recruit,DS/ Associate Principal Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-10 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Production/IndustrialPG :Any Postgraduate,,(12 Reviews),Bangalore/Bengaluru,Computer scienceCloud computingApplication programmingMachine learningAgileScrumData miningAnalytics,https://www.naukri.com/job-listings-ds-associate-principal-data-scientist-multi-recruit-bangalore-bengaluru-3-to-10-years-010322501115,https://www.ambitionbox.com/reviews/multi-recruit-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Absolutdata,Absolutdata is Hiring Data Scientists,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",Not disclosed ,Not disclosed,Avg. Salary - ₹10.9 Lakhs,UG :Any Graduate,,(58 Reviews),Gurgaon/Gurugram(WFH during Covid),pythonmachine learningDeep Learningartificial neural networksrMango DbClassificationRegression,https://www.naukri.com/job-listings-absolutdata-is-hiring-data-scientists-absolutdata-research-analytics-solutions-pvt-lt-gurgaon-gurugram-8-to-12-years-300722000377,https://www.ambitionbox.com/reviews/absolutdata-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Tiger Analytics,Senior/ Lead Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(107 Reviews),Remote,Team managementdata scienceAnalyticalConsultingMachine learningData processingSiliconAnalytics,https://www.naukri.com/job-listings-senior-lead-data-scientist-tiger-analytics-remote-2-to-8-years-270722501122,https://www.ambitionbox.com/reviews/tiger-analytics-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
maruti Automobile- TRUE VALUE,Data Scientist - Digital Enterprise,"['RoleData Scientist', 'Industry TypeAutomobile', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-6 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Production/IndustrialPG :Any Postgraduate,,(27 Reviews),Gurgaon/Gurugram,Computer scienceNetworkingTime managementAnalyticalMachine learningTechnical leadershipOpen sourceAnalytics,https://www.naukri.com/job-listings-data-scientist-digital-enterprise-maruti-automobile-true-value-gurgaon-gurugram-3-to-6-years-240622500436,https://www.ambitionbox.com/reviews/maruti-true-value-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Center for Integrative Omics Data science,Data Scientist,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",0-2 Yrs ,"2,25,000 - 2,50,000 PA.",,"UG :B.Tech/B.E. in Any Specialization, BCA in Any SpecializationPG :MCA in Any Specialization",,(28 Reviews),Mangaluru/Mangalore,PythonJavascriptData AnalysisHtml And Css,https://www.naukri.com/job-listings-data-scientist-center-for-integrative-omics-data-science-mangaluru-mangalore-0-to-2-years-180822000804,https://www.ambitionbox.com/reviews/yenepoya-university-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Aidash,Data Scientist / Sr . Data Scientist,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",0-3 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(4 Reviews),Gurgaon/Gurugram,Product managementComputer visionAnalyticalArtificial IntelligenceMachine learningData processingAnalyticsMonitoring,https://www.naukri.com/job-listings-data-scientist-sr-data-scientist-aidash-gurgaon-gurugram-0-to-3-years-100822500402,https://www.ambitionbox.com/reviews/aidash-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
The IT Mind Services,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,"12,00,000 - 20,00,000 PA.",,UG :Any Graduate,,(3 Reviews),"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Data ScienceMachine learningPythonJavaIT Skills,https://www.naukri.com/job-listings-data-scientist-the-it-mind-services-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-050822000366,https://www.ambitionbox.com/reviews/the-it-mind-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
The IT Mind Services,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,"10,00,000 - 15,00,000 PA.",,UG :Any Graduate,,(3 Reviews),"Hyderabad/Secunderabad, Bangalore/Bengaluru",Data sciencePythonJavaIT SkillsCloud,https://www.naukri.com/job-listings-data-scientist-the-it-mind-services-hyderabad-secunderabad-bangalore-bengaluru-3-to-8-years-240722001297,https://www.ambitionbox.com/reviews/the-it-mind-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
TALENT500 TECH (INDIA) PRIVATE LIMITED,Data Scientist - Machine Learning | Coffee Beans,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-8 Yrs ,Not disclosed,,UG :Any Graduate,,(11 Reviews),Hyderabad/Secunderabad,RedshiftLinuxMachine LearningHiveNLPCore PythonKafkacommunication,https://www.naukri.com/job-listings-data-scientist-machine-learning-coffee-beans-talent500-tech-india-private-limited-hyderabad-secunderabad-5-to-8-years-180822011793,https://www.ambitionbox.com/reviews/talent500-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
HyringNinja,Data Scientist - Machine Learning,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-5 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Computers, BCA in Computers, B.Sc in ComputersPG :Any PostgraduateDoctorate :Doctorate Not Required",,,"Mumbai, Pune",,https://www.naukri.com/job-listings-data-scientist-machine-learning-hyringninja-mumbai-pune-1-to-5-years-010822908488,
Changeleaders Consulting Private Limited,Data Science Lead,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-11 Yrs ,"14,00,000 - 24,00,000 PA.",,"UG :B.A in Any Specialization, Any GraduatePG :Any Postgraduate",,,"Pune, Chennai, Mumbai (All Areas)",Data SciencePredictive ModelingRNLPSegmentationArtificial IntelligenceData AnalysisSQL Database,https://www.naukri.com/job-listings-data-science-lead-changeleaders-consulting-private-limited-pune-chennai-mumbai-all-areas-6-to-11-years-290622602271,
InfoCepts,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",9-12 Yrs ,"17,00,000 - 27,50,000 PA.",,UG :B.Tech/B.E. in Any Specialization,,(108 Reviews),"Nagpur, Pune, Chennai",Data Science,https://www.naukri.com/job-listings-senior-data-scientist-infocepts-technologies-pvt-ltd-nagpur-pune-chennai-9-to-12-years-100822012304,https://www.ambitionbox.com/reviews/infocepts-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Genext Consultants ,Required Team leader Graphic For a  US based Advertising Co @ Goregoan,"['RoleData Scientist', 'Industry TypeAdvertising & Marketing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",7-12 Yrs ,"5,00,000 - 12,00,000 PA.",,UG :Any Graduate,,,Mumbai (All Areas),Graphic DesigningTeam ManagementTeam Handlingindesignteam leaderIllustratorPhotoshopAdobe,https://www.naukri.com/job-listings-required-team-leader-graphic-for-a-us-based-advertising-co-goregoan-genext-consultants-mumbai-all-areas-7-to-12-years-270722007498,
