quote,image,industry,profile link
Anything and everything that can go digital is going digital. India cannot afford to be left behind.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c7d7829a7ea434b351ba0b6%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D206%26cropX2%3D2043%26cropY1%3D250%26cropY2%3D2089,"Mukesh Ambani chairs and runs $74 billion (revenue) Reliance Industries, which has interests in petrochemicals, oil and gas, telecom and retail.",https://www.forbes.com/profile/mukesh-ambani/?list=billionaires
Organizations resist innovation and those that do inevitably fail because people are more comfortable with what they know than with what they don't.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c76b4104bbe6f24ad99c35d%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D165%26cropX2%3D5613%26cropY1%3D321%26cropY2%3D5769,Michael Bloomberg cofounded financial information and media company Bloomberg LP in 1981.,https://www.forbes.com/profile/michael-bloomberg/?list=billionaires
"When you live for others' opinions, you are dead. I don't want to live thinking about how I'll be remembered.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c76ba144bbe6f24ad99c613%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D3005%26cropY1%3D389%26cropY2%3D3395,"Mexico's richest man, Carlos Slim Helu and his family control América Móvil, Latin America's biggest mobile telecom firm.",https://www.forbes.com/profile/carlos-slim-helu/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F605e26e3c65f7c2596bd3e15%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1080%26cropY1%3D0%26cropY2%3D1080,"Francoise Bettencourt Meyers, the granddaughter of the founder of L'Oreal, is the richest woman in the world. ",https://www.forbes.com/profile/francoise-bettencourt-meyers/?list=billionaires
"We may not have the power to create the world we want immediately, but we can all start working on the long term today.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c76b7d331358e35dd2773a9%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D4401%26cropY1%3D0%26cropY2%3D4401,"Facebook, the social network Zuckerberg runs, has been an information hub during the pandemic, but has come under scrutiny for spreading vaccine misinformation.",https://www.forbes.com/profile/mark-zuckerberg/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c7ef2fea7ea434b351bca5a%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D49%26cropX2%3D934%26cropY1%3D65%26cropY2%3D951,Jim Walton is the youngest son of Walmart founder Sam Walton.,https://www.forbes.com/profile/jim-walton/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F60380e390357bc1fbfc0bc32%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D116%26cropX2%3D1327%26cropY1%3D201%26cropY2%3D1413,"Zhong Shanshan chairs Nongfu Spring, a bottled water company, which listed its shares in Hong Kong in September 2020.",https://www.forbes.com/profile/zhong-shanshan/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c7ef270a7ea434b351bca52%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D232%26cropX2%3D998%26cropY1%3D222%26cropY2%3D988,"Alice Walton is the only daughter of Walmart founder Sam Walton.
",https://www.forbes.com/profile/alice-walton/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F59d50a9e4bbe6f37dd9ff712%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D244%26cropX2%3D1841%26cropY1%3D60%26cropY2%3D1658,Rob Walton is the eldest son of Walmart founder Sam Walton.,https://www.forbes.com/profile/rob-walton/?list=billionaires
"We need to respect the market, with a level of caution too. It goes up and down in cycles. And especially the fact that it doesn?t always make sense.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F61115ac5b4c5d23845419c4e%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D911%26cropY1%3D0%26cropY2%3D911,"Changpeng Zhao, who goes by CZ, is the founder and CEO of Binance, the largest cryptocurrency exchange in the world. ",https://www.forbes.com/profile/changpeng-zhao/?list=billionaires
"For business to survive over a long period, it needs to be contributing to society and people's well-being. Otherwise, who's going to want it?",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F615c94bd2aac2936a52682d1%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D286%26cropX2%3D848%26cropY1%3D110%26cropY2%3D672,"Charles Koch has been chairman and CEO of Koch Industries, America's largest private company by revenue, since 1967.",https://www.forbes.com/profile/charles-koch/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5e7bbaaa10380d0006fc154e%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D5196%26cropY1%3D0%26cropY2%3D5196,"Julia Koch and her three children inherited a 42% stake in Koch Industries from her husband, David, who died in August 2019 at age 79. ",https://www.forbes.com/profile/julia-koch/?list=billionaires
"In the street, I only want to be recognized by my family, my friends and people I work with.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c76b94131358e35dd27748e%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D179%26cropX2%3D2232%26cropY1%3D216%26cropY2%3D2269,Amancio Ortega of Spain is one of the wealthiest clothing retailers in the world.,https://www.forbes.com/profile/amancio-ortega/?list=billionaires
"I'm guilty of doing too much, and I'm guilty of not seeing mistakes coming. What I'm not guilty of is making the same mistake twice.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F615c93f9da61f2ff5b9ecf9b%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1678%26cropY1%3D118%26cropY2%3D1797,"Michael Dell is the chairman and CEO of Dell Technologies, which was formed in 2016 when Dell merged with computer storage giant EMC.",https://www.forbes.com/profile/michael-dell/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F618e91e427fcd6441f93c0c6%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D227%26cropX2%3D1294%26cropY1%3D14%26cropY2%3D1080,"Zhang Yiming is the founder of ByteDance, one of China's largest media content platforms; he was formerly the company's CEO and chairman. ",https://www.forbes.com/profile/zhang-yiming/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5a7ba72aa7ea43169012f1b4%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D1065%26cropX2%3D3315%26cropY1%3D60%26cropY2%3D2310,David Thomson and his family control a media and publishing empire founded by his grandfather Roy Thomson.,https://www.forbes.com/profile/david-thomson/?list=billionaires
It is hard enough out there. Get all the help you can. Getting help really is just a part of that lifelong search for wisdom.,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5a8d930431358e4955adf1bb%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D1457%26cropX2%3D2405%26cropY1%3D17%26cropY2%3D966,"Phil Knight, founder of shoe giant Nike, retired as chairman in June 2016 after 52 years at the company.",https://www.forbes.com/profile/phil-knight/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F6050f48ca1ab099ed6e290cc%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D800%26cropY1%3D0%26cropY2%3D800,"Dieter Schwarz's Schwarz Group, with revenue of over $140 billion, is comprised of the Kaufland and Lidl (rhymes with needle) discount supermarkets.",https://www.forbes.com/profile/dieter-schwarz/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F6067bcb1bfd36aed75c0c223%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D19%26cropX2%3D1080%26cropY1%3D19%26cropY2%3D1080,"Zeng is the founder and chairman of Contemporary Amperex Technology (CATL),  one of the world's largest suppliers of batteries for electric vehicles. ",https://www.forbes.com/profile/robin-zeng/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F61ae9e9ff0382e22173e1903%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D343%26cropX2%3D1125%26cropY1%3D137%26cropY2%3D920,"MacKenzie Scott is a philanthropist, author and the ex-wife of Amazon founder Jeff Bezos, to whom she was married for 25 years. They divorced in mid 2019 and she received 25% of his Amazon stake.",https://www.forbes.com/profile/mackenzie-scott/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F61ae9e9ff0382e22173e1903%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D343%26cropX2%3D1125%26cropY1%3D137%26cropY2%3D920,"MacKenzie Scott is a philanthropist, author and the ex-wife of Amazon founder Jeff Bezos, to whom she was married for 25 years. They divorced in mid 2019 and she received 25% of his Amazon stake.",https://www.forbes.com/profile/mackenzie-scott/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F61ae9e9ff0382e22173e1903%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D343%26cropX2%3D1125%26cropY1%3D137%26cropY2%3D920,"MacKenzie Scott is a philanthropist, author and the ex-wife of Amazon founder Jeff Bezos, to whom she was married for 25 years. They divorced in mid 2019 and she received 25% of his Amazon stake.",https://www.forbes.com/profile/mackenzie-scott/?list=billionaires
"[Hamburger Sport Verein] is enormously close to my heart. I have been a fan from childhood, and I watch every match on television.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5e762e4fc7b02d000666c89b%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D792%26cropX2%3D4141%26cropY1%3D0%26cropY2%3D3347,"Logistics magnate Klaus-Michael Kuehne is honorary chairman of Kuehne + Nagel International AG, based in &#8206;Schindellegi&#8206;, Switzerland.",https://www.forbes.com/profile/klaus-michael-kuehne/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F605e23c0f0986f688fbd3e15%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1080%26cropY1%3D0%26cropY2%3D1080,"Ma Huateng (also known as Pony Ma) chairs Chinese internet giant Tencent Holdings, which ranks among the nation's largest businesses by market cap.",https://www.forbes.com/profile/ma-huateng/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F605e23c0f0986f688fbd3e15%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1080%26cropY1%3D0%26cropY2%3D1080,"Ma Huateng (also known as Pony Ma) chairs Chinese internet giant Tencent Holdings, which ranks among the nation's largest businesses by market cap.",https://www.forbes.com/profile/ma-huateng/?list=billionaires
"I strongly believe that attention to employees' needs, to their families, to their life even when they quit working, cements a social cohesion that is mutually beneficial. ",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5b11bc5ca7ea436b547f29cb%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D622%26cropX2%3D1844%26cropY1%3D361%26cropY2%3D1582,"Giovanni Ferrero is executive chairman of his family's namesake confections business, which posted $14 billion sales in 2021.",https://www.forbes.com/profile/giovanni-ferrero/?list=billionaires
"The burden of poverty and this bitter taste of helplessness and isolation sort of branded on my heart forever the questions that still drive me. 
",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F60351d9a688e1407617b2595%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D1341%26cropX2%3D2035%26cropY1%3D411%26cropY2%3D1105,"Nicknamed Superman, Li Ka-shing is revered as one of the most influential businessmen in Asia.",https://www.forbes.com/profile/li-ka-shing/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5d89f4d318444200084e5265%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D1911%26cropX2%3D5305%26cropY1%3D26%26cropY2%3D3418,"The son of a dry goods store owner, Stephen Schwarzman founded private equity firm Blackstone with fellow billionaire Peter Peterson in 1985.",https://www.forbes.com/profile/stephen-schwarzman/?list=billionaires
"When I was young, business came first, then wealth, then health and finally family. Now it's health first, then family, then my business and lastly wealth.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F605e29dee450fb635e9d9140%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1080%26cropY1%3D0%26cropY2%3D1080,"Lee Shau Kee cofounded property developer Sun Hung Kai with Kwok Tak-Seng, the late father of Hong Kong's billionaire Kwok brothers.",https://www.forbes.com/profile/lee-shau-kee/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c745d7b4bbe6f072958dac9%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D473%26cropX2%3D2103%26cropY1%3D123%26cropY2%3D1753,"Born in Ukraine, raised north of Moscow, Len Blavatnik emigrated to the U.S. in 1978 for school; he studied computer science at Columbia University.",https://www.forbes.com/profile/len-blavatnik/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F59d50d06a7ea436b47b36d84%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D147%26cropX2%3D1649%26cropY1%3D377%26cropY2%3D1879,"Jacqueline Mars owns an estimated one-third of Mars, the world's largest candymaker, founded by her grandfather.",https://www.forbes.com/profile/jacqueline-mars/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ba41e08a7ea434e4c6948eb%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D53%26cropX2%3D1401%26cropY1%3D9%26cropY2%3D1357,John and his siblings Jacqueline and Forrest Jr. (died July 2016) inherited stakes in the candy firm Mars when their father died in 1999.,https://www.forbes.com/profile/john-mars/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F6038217dfcc7547219c6da2b%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D91%26cropX2%3D1460%26cropY1%3D172%26cropY2%3D1541,"Alain Wertheimer is the chairman of Chanel, the French luxury brand.",https://www.forbes.com/profile/alain-wertheimer/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F6038217dfcc7547219c6da2b%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D91%26cropX2%3D1460%26cropY1%3D172%26cropY2%3D1541,"Alain Wertheimer is the chairman of Chanel, the French luxury brand.",https://www.forbes.com/profile/alain-wertheimer/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F597a47174bbe6f3eb800b6b8%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D1901%26cropX2%3D3603%26cropY1%3D368%26cropY2%3D2069,"Germán Larrea Mota Velasco owns the majority of Mexico's largest copper mining company, Grupo México, which also has operations in Perú and the U.S.",https://www.forbes.com/profile/german-larrea-mota-velasco/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5c794b404bbe6f659da9afee%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D231%26cropX2%3D2298%26cropY1%3D485%26cropY2%3D2552,"Australia's richest citizen, Gina Rinehart built her wealth on iron ore.",https://www.forbes.com/profile/gina-rinehart/?list=billionaires
"I came from a rural background, but I did alright.",https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F605e2b0c7cd0a7025abd3e15%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1080%26cropY1%3D0%26cropY2%3D1080,Indian IT pioneer Shiv Nadar cofounded HCL in a garage in 1976 to make calculators and microprocessors. ,https://www.forbes.com/profile/shiv-nadar/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5d8bd8326de3150009a51efb%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D1332%26cropX2%3D2541%26cropY1%3D0%26cropY2%3D1208,"Jim Simons is the founder of Renaissance Technologies, an esteemed quantitative trading hedge fund firm that manages about $55 billion.",https://www.forbes.com/profile/jim-simons/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5f88aa3c6e0f7a6ca036fc64%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D1462%26cropX2%3D2567%26cropY1%3D1200%26cropY2%3D2305,Entrepreneur He Xiangjian built Midea Group into one of the world's largest appliance makers.,https://www.forbes.com/profile/he-xiangjian/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F605e494f800955d12c9d9142%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1080%26cropY1%3D0%26cropY2%3D1080,"Miriam Adelson is the widow of Sheldon Adelson, the former CEO and chairman of casino company Las Vegas Sands, who died at 87 in January 2021.",https://www.forbes.com/profile/miriam-adelson/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5e7419c910380d0006bdab6a%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D882%26cropX2%3D3841%26cropY1%3D6%26cropY2%3D2966,Red Bull billionaire Dietrich Mateschitz cofounded the ubiquitous energy drink in 1987 with Thai businessman Chaleo Yoovidhya (d. 2012).,https://www.forbes.com/profile/dietrich-mateschitz/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F605e2e8ca4f18e06b39d9142%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1384%26cropY1%3D0%26cropY2%3D1384,"Leonardo Del Vecchio, chairman of the world's largest producer and retailer of sunglasses and prescription glasses EssilorLuxottica, died at age 87 on June 27, 2022.",https://www.forbes.com/profile/leonardo-del-vecchio/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F6247575a5af6af682d503f2f%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1966%26cropY1%3D0%26cropY2%3D1966,"Ken Griffin founded and runs Citadel, a Chicago-based hedge fund firm that manages roughly $39 billion in assets.",https://www.forbes.com/profile/ken-griffin/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F629e5b3c7d9ce19405b62126%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D449%26cropX2%3D3582%26cropY1%3D90%26cropY2%3D3219,"Tadashi Yanai built and runs Tokyo-listed retail clothing empire Fast Retailing, parent of the Uniqlo chain.",https://www.forbes.com/profile/tadashi-yanai/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5e790d54c7b02d000666fa67%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D571%26cropX2%3D4018%26cropY1%3D0%26cropY2%3D3445,"William Ding is the CEO of Netease, one of the world's largest online and mobile games businesses. ",https://www.forbes.com/profile/william-lei-ding/?list=billionaires
,https://thumbor.forbes.com/thumbor/200x200/smart/filters:format(jpeg)/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F605e281e4f49584f571c9c42%2F416x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1080%26cropY1%3D0%26cropY2%3D1080,"Susanne Klatten  owns about 19% of automaker BMW; her brother, Stefan Quandt, owns nearly 24%.",https://www.forbes.com/profile/susanne-klatten/?list=billionaires
